RANK,TITLE,ID
156,Natsume Yuujinchou: Itsuka Yuki no Hi ni,20651
157,No Game No Life,19815
158,Rurouni Kenshin: Meiji Kenkaku Romantan,45
159,Stranger: Mukou Hadan,2418
160,Violet Evergarden,33352
161,3-gatsu no Lion,31646
162,Kono Sekai no Katasumi ni,15227
163,Mobile Suit Gundam: The Origin,10937
164,Nanatsu no Taizai: Imashime no Fukkatsu,34577
165,Natsume Yuujinchou,4081
166,One Outs,5040
167,Shelter,34240
168,Toradora!,4224
169,Tsubasa: Tokyo Revelations,2685
170,Hunter x Hunter OVA,137
171,Pingu in the City,36259
172,Beck,57
173,Hunter x Hunter: Greed Island Final,139
174,Kuroko no Basket,11771
175,Major S1,627
176,Natsume Yuujinchou Go Specials,34534
177,NHK ni Youkoso!,1210
178,Tenkuu no Shiro Laputa,513
179,Versailles no Bara,338
180,Detective Conan Movie 13: The Raven Chaser,5460
181,Gintama: Shiroyasha Koutan,6945
182,Hajime no Ippo: Champion Road,264
183,Major S2,558
184,Major S3,1842
185,Toki wo Kakeru Shoujo,2236
186,Yoru wa Mijikashi Arukeyo Otome,34537
187,Bakemonogatari,5081
188,Higurashi no Naku Koro ni Kai,1889
189,Kono Subarashii Sekai ni Shukufuku wo! 2,32937
190,Planetes,329
191,Ballroom e Youkoso,34636
192,Fate/stay night: Unlimited Blade Works,22297
193,Ghost in the Shell,43
194,Kuroshitsuji: Book of Murder,23317
195,Nodame Cantabile Finale,5690
196,Ookami to Koushinryou,2966
197,Tsuki ga Kirei,34822
198,Danshi Koukousei no Nichijou,11843
199,Gin no Saji 2nd Season,19363
200,Hachimitsu to Clover II,1142
201,K-On! Movie,9617
202,Kuroshitsuji: Book of Circus,22145
203,Major: Message,9890
204,One Piece Film: Strong World,4155
205,Ouran Koukou Host Club,853
206,Sakurasou no Pet na Kanojo,13759
207,Bungou Stray Dogs 2nd Season,32867
208,Gintama: Shinyaku Benizakura-hen,9735
209,InuYasha: Kanketsu-hen,6811
210,Kaguya-hime no Monogatari,16664
211,Little Busters!: Refrain,18195
212,Major S4,3226
213,One Piece Film: Z,12859
214,Redline,6675
215,SKET Dance,9863
216,Angel Beats!,6547
217,Bakuman.,7674
218,Gyakkyou Burai Kaiji: Ultimate Survivor,3002
219,Kuroko no Basket: Last Game,31658
220,Mobile Suit Gundam Unicorn,6336
221,Sennen Joyuu,1033
222,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,32188
223,Berserk: Ougon Jidai-hen III - Kourin,12115
224,Detective Conan Movie 20: The Darkest Nightmare,32005
225,Dragon Ball Z,813
226,Hunter x Hunter: Greed Island,138
227,Initial D Final Stage,22507
228,Katekyo Hitman Reborn!,1604
229,Kyoukai no Kanata Movie: I'll Be Here - Mirai-hen,28675
230,Neon Genesis Evangelion,30
231,Perfect Blue,437
232,Tokyo Godfathers,759
233,Trigun,6
234,xxxHOLiC Kei,3091
235,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,372
236,Durarara!!,6746
237,Fullmetal Alchemist,121
238,Mimi wo Sumaseba,585
239,Nanatsu no Taizai,23755
240,Saint Seiya: The Lost Canvas - Meiou Shinwa 2,9130
241,Working!!!: Lord of the Takanashi,31715
242,xxxHOLiC Rou,6864
243,Chihayafuru,10800
244,Hibike! Euphonium 2,31988
245,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's,10153
246,Majo no Takkyuubin,512
247,Omoide no Marnie,21557
248,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,23847
249,Death Parade,28223
250,Detective Conan Movie 14: The Lost Ship in the Sky,6467
251,Gyakkyou Burai Kaiji: Hakairoku-hen,10271
252,Initial D First Stage,185
253,Kotonoha no Niwa,16782
254,Kuroko no Basket: Saikou no Present Desu,31051
255,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,11977
256,Mahoutsukai no Yome: Hoshi Matsu Hito,32902
257,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,19123
258,Space☆Dandy 2nd Season,23327
259,Aria The Natural,962
260,Ashita no Joe,2402
261,Black Lagoon: The Second Barrage,1519
262,Hajime no Ippo: Mashiba vs. Kimura,265
263,Kamisama Hajimemashita◎,25681
264,Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,33051
265,Detective Conan,235
266,Detective Conan Movie 05: Countdown to Heaven,1364
267,Fate/stay night: Unlimited Blade Works - Prologue,27821
268,Kaiba,3701
269,Maison Ikkoku,1453
270,Nagi no Asukara,16067
271,Skip Beat!,4722
272,Yowamushi Pedal: Grande Road,24277
273,Baccano! Specials,3901
274,Initial D Fourth Stage,18
275,JoJo no Kimyou na Bouken: Stardust Crusaders,20899
276,Nodame Cantabile: Paris-hen,4477
277,One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,15323
278,Sekaiichi Hatsukoi 2,11123
279,Detroit Metal City,3702
280,Kami nomi zo Shiru Sekai: Megami-hen,16706
281,Non Non Biyori Repeat,23623
282,Shijou Saikyou no Deshi Kenichi,1559
283,Shingeki no Kyojin: Lost Girls,36106
284,Summer Wars,5681
285,Uchouten Kazoku 2,34076
286,Clannad,2167
287,Darker than Black: Kuro no Keiyakusha,2025
288,Detective Conan Movie 08: Magician of the Silver Sky,1367
289,Detective Conan Movie 10: Requiem of the Detectives,1506
290,Gankutsuou,239
291,Magi: The Labyrinth of Magic,14513
292,Mobile Suit Gundam 00,2581
293,Tengen Toppa Gurren Lagann Movie: Gurren-hen,4107
294,Zankyou no Terror,23283
295,Ansatsu Kyoushitsu (TV),24833
296,Cardcaptor Sakura,232
297,Code Geass: Hangyaku no Lelouch I - Koudou,34438
298,Detective Conan Movie 18: The Sniper from Another Dimension,21419
299,Diamond no Ace,18689
300,Hajime no Ippo: Boxer no Kobushi,12069
301,Kaichou wa Maid-sama!,7054
302,Kaze Tachinu,16662
303,Kingdom,12031
304,Kuragehime,8129
305,Princess Tutu,721
306,Saint Seiya: Meiou Hades Juuni Kyuu-hen,1257
307,Seirei no Moribito,1827
308,Shoujo Kakumei Utena,440
309,Tsubasa: Shunraiki,4938
310,Yuri!!! on Ice,32995
311,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 3 - Yakusoku,34376
312,Durarara!!x2 Ketsu,27833
313,Eve no Jikan,3167
314,Gosick,8425
315,Kill la Kill,18679
316,Kobayashi-san Chi no Maid Dragon,33206
317,Kokoro ga Sakebitagatterunda.,28725
318,Nisemonogatari,11597
319,Osomatsu-san,31174
320,Tsukimonogatari,28025
321,Tsumiki no Ie,5365
322,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,33161
323,Akatsuki no Yona,25013
324,Eve no Jikan (Movie),7465
325,Ghost in the Shell: Stand Alone Complex - Solid State Society,1566
326,Glass no Kamen (2005),1974
327,"Kamisama Hajimemashita: Kamisama, Shiawase ni Naru",33323
328,Lupin III: Cagliostro no Shiro,1430
329,Saint Seiya: The Lost Canvas - Meiou Shinwa,6171
330,Shoujo Shuumatsu Ryokou,35838
331,Yuusha-Ou GaoGaiGar Final,1382
332,Cardcaptor Sakura: Clear Card-hen Prologue - Sakura to Futatsu no Kuma,35320
333,Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture,3016
334,Kono Subarashii Sekai ni Shukufuku wo! 2 OVA,34626
335,Lovely★Complex,2034
336,Mobile Suit Gundam 00 Second Season,3927
337,Sakasama no Patema,12477
338,Baby Steps 2nd Season,27663
339,Evangelion: 1.0 You Are (Not) Alone,2759
340,Ghost in the Shell: Stand Alone Complex - The Laughing Man,2449
341,"Ginga Eiyuu Densetsu Gaiden: Senoku no Hoshi, Senoku no Hikari",3371
342,Gintama': Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru,25313
343,Gintama: Dai Hanseikai,10643
344,Hikaru no Go,135
345,Interstella5555: The 5tory of The 5ecret 5tar 5ystem,731
346,Saiunkoku Monogatari 2nd Season,1914
347,Akira,47
348,D.Gray-man,1482
349,Eureka Seven,237
350,Full Metal Panic? Fumoffu,72
351,Gekkan Shoujo Nozaki-kun,23289
352,Gin no Saji,16918
353,Initial D Second Stage,186
354,Junjou Romantica 2,4814
355,Kara no Kyoukai 3: Tsuukaku Zanryuu,3783
356,Kodomo no Omocha (TV),1486
357,Naruto: Shippuuden,1735
358,Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai,20371
359,Tamayura: Sotsugyou Shashin Part 4 - Ashita,29831
360,Tokyo Magnitude 8.0,6211
361,Uchuu Senkan Yamato 2202: Ai no Senshi-tachi,33064
362,xxxHOLiC Shunmuki,4918
363,Dennou Coil,2164
364,Detective Conan Movie 03: The Last Wizard of the Century,781
365,Detective Conan Movie 04: Captured in Her Eyes,1363
366,Dragon Ball,223
367,Hyouka,12189
368,Initial D Fifth Stage,15059
369,Kono Subarashii Sekai ni Shukufuku wo!,30831
370,Little Witch Academia (TV),33489
371,Magi: Sinbad no Bouken (TV),31741
372,Noragami,20507
373,One Piece Film: Gold,31490
374,Ookiku Furikabutte: Natsu no Taikai-hen,7720
375,Overlord II,35073
376,Youjo Senki,32615
377,Akatsuki no Yona OVA,30370
378,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,15039
379,Black Lagoon,889
380,Fairy Tail (2014),22043
381,Free!: Eternal Summer Special,26213
382,Gintama°: Umai-mono wa Atomawashi ni Suru to Yokodorisareru kara Yappari Saki ni Kue,32122
383,Hachimitsu to Clover,16
384,Juuni Kokuki,153
385,K-On!!,7791
386,Kamisama Hajimemashita,14713
387,Kimi ni Todoke,6045
388,Kokoro Connect: Michi Random,16001
389,Persona 3 the Movie 4: Winter of Rebirth,31149
390,ReLIFE,30015
391,Sekaiichi Hatsukoi OVA,8063
392,Working!!!,25879
393,Akagami no Shirayuki-hime 2nd Season,31173
394,Black Lagoon: Roberta's Blood Trail,4901
395,Detective Conan Movie 15: Quarter of Silence,9963
396,ef: A Tale of Melodies.,4789
397,Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi,2951
398,Hanada Shounen-shi,2004
399,Hidamari Sketch: Sae Hiro Sotsugyou-hen,17739
400,Kimi ni Todoke 2nd Season,9656
401,Kyou kara Ore wa!!,851
402,Major Movie: Yuujou no Winning Shot,5029
403,Mirai Shounen Conan,302
404,Paprika,1943
405,Sword Art Online Movie: Ordinal Scale,31765
406,Toaru Kagaku no Railgun S,16049
407,Aria The Origination: Sono Choppiri Himitsu no Basho ni...,4772
408,Devilman: Crybaby,35120
409,Ginga Nagareboshi Gin,589
410,Kanon (2006),1530
411,Kekkai Sensen & Beyond,34451
412,Love Live! The School Idol Movie,24997
413,One Piece Film: Strong World Episode 0,8740
414,Phantom: Requiem for the Phantom,5682
415,School Rumble Ni Gakki,846
416,Slayers Next,535
417,Stand By Me Doraemon,21469
418,Touch,1065
419,Yowamushi Pedal,18179
420,Yuri!!! on Ice: Yuri Plisetsky GPF in Barcelona EX - Welcome to The Madness,35382
421,Zetsuen no Tempest,14075
422,Durarara!!x2 Shou,23199
423,Higurashi no Naku Koro ni,934
424,Junjou Romantica 3,25649
425,Nurarihyon no Mago: Sennen Makyou,10049
426,Prince of Tennis: The National Tournament Finals,4053
427,Sekaiichi Hatsukoi: Valentine-hen,20815
428,Wolf's Rain OVA,1023
429,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,14813
430,Aria The Avvenire,29893
431,City Hunter 2,1471
432,"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen",4059
433,Durarara!!x2 Ten,27831
434,Fairy Tail,6702
435,Final Fantasy VII: Advent Children Complete,2952
436,Fullmetal Alchemist: Brotherhood Specials,6421
437,Kara no Kyoukai: Mirai Fukuin,14807
438,Kindaichi Shounen no Jikenbo (TV),2076
439,Log Horizon,17265
440,Mobile Suit Gundam: The 08th MS Team,81
441,Tamako Love Story,21647
442,Aria The OVA: Arietta,2563
443,Ghost in the Shell: Stand Alone Complex 2nd GIG - Individual Eleven,2448
444,Ginga Sengoku Gunyuuden Rai,3907
445,Noragami Aragoto OVA,30885
446,Omae Umasou da na,9204
447,Quanzhi Gaoshou,33926
448,Takarajima,2618
449,xxxHOLiC,861
450,Ghost in the Shell 2.0,4672
451,Ginga Eiyuu Densetsu Gaiden: Rasen Meikyuu,3665
452,Hanamonogatari,21855
453,Hyouge Mono,9996
454,Igano Kabamaru,2762
455,Kimi to Boku. 2,11739
456,Mahou Shoujo Lyrical Nanoha A's,77
457,Sekaiichi Hatsukoi,9926
458,Tekkon Kinkreet,2154
459,Hikaru no Go: Journey to the North Star Cup,645
460,Kami nomi zo Shiru Sekai II,10080
461,Karigurashi no Arrietty,7711
462,Ookiku Furikabutte,2159
463,Ore Monogatari!!,28297
464,Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,401
465,Tiger & Bunny,9941
466,Ushio to Tora (TV) 2nd Season,31098
467,Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,12113
468,Darker than Black: Kuro no Keiyakusha Gaiden,7338
469,Detective Conan OVA 09: The Stranger in 10 Years...,6438
470,Drifters,31339
471,ef: A Tale of Memories.,2924
472,FLCL,227
473,Full Moon wo Sagashite,122
474,Kobato.,5678
475,Kuuchuu Buranko,6774
476,Prince of Tennis: The National Tournament,995
477,Trigun: Badlands Rumble,4106
478,Aoki Hagane no Arpeggio: Ars Nova Cadenza,24921
479,Eyeshield 21,15
480,Fate/kaleid liner Prisma☆Illya Movie: Sekka no Chikai,34100
481,High☆Speed!: Free! Starting Days,30415
482,Jigoku Shoujo Futakomori,1594
483,Junjou Romantica OVA,13767
484,Kamisama Hajimemashita OVA,18661
485,Macross,1088
486,Macross: Do You Remember Love?,1089
487,Nekomonogatari: Kuro,15689
488,One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai,25161
489,Overlord,29803
490,Prince of Tennis: The National Tournament Semifinals,2752
491,SKET Dance OVA,16395
492,Tentai Senshi Sunred 2nd Season,6582
493,Usagi Drop Specials,11113
494,Azumanga Daioh,66
495,Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,3014
496,Golden Boy,268
497,Grisaia no Meikyuu: Caprice no Mayu 0,29093
498,Grisaia no Rakuen,29095
499,Haibane Renmei,387
500,Ie Naki Ko Remi,2829
501,Isekai no Seikishi Monogatari,5781
502,Kaleido Star,427
503,Mawaru Penguindrum,10721
504,Saiunkoku Monogatari,957
505,Soul Eater,3588
506,Tanaka-kun wa Itsumo Kedaruge,32093
507,There She Is!!,6505
508,Yume-iro Pâtissière,6586
509,Beelzebub,9513
510,Full Metal Panic! The Second Raid,73
511,Hybrid Child,11135
512,Kurenai no Buta,416
513,Macross F Movie 2: Sayonara no Tsubasa,7222
514,One Piece: Episode of East Blue - Luffy to 4-nin no Nakama no Daibouken,36215
515,Planetarian: Hoshi no Hito,33190
516,Saiyuuki Reload: Burial,2143
517,School Rumble,24
518,Shijou Saikyou no Deshi Kenichi OVA,11813
519,Terra e... (TV),2158
520,xxxHOLiC Movie: Manatsu no Yoru no Yume,793
521,Yakitate!! Japan,28
522,Yowamushi Pedal: Glory Line,35789
523,Yuru Yuri San☆Hai!,30279
524,Death Billiards,14353
525,Flanders no Inu (Movie),2623
526,Haikyuu!! Movie 1: Owari to Hajimari,29755
527,Hibike! Euphonium,27989
528,Jormungand: Perfect Order,13331
529,Kuroko no Basket: Tip Off,16916
530,Lupin III vs. Detective Conan: The Movie,18429
531,Non Non Biyori,17549
532,Shirokuma Cafe,12815
533,Tanoshii Muumin Ikka,2150
534,Colorful (Movie),8142
535,Date A Live: Encore OVA,22961
536,Hanasaku Iroha,9289
537,Kara no Kyoukai 4: Garan no Dou,4280
538,Mahou Shoujo Lyrical Nanoha: The Movie 1st,4985
539,Mobile Suit Zeta Gundam,85
540,Prince of Tennis,22
541,Tokyo Ghoul,22319
542,Coquelicot-zaka kara,10029
543,Detective Conan Movie 02: The Fourteenth Target,780
544,Digimon Adventure tri. 3: Kokuhaku,32551
545,Durarara!! Specials,8408
546,Eikoku Koi Monogatari Emma: Molders-hen,2035
547,Ergo Proxy,790
548,Junjou Romantica,3092
549,Kuroshitsuji,4898
550,Love Live! School Idol Project 2nd Season,19111
551,Magi: Sinbad no Bouken,22097
552,Sakigake!! Cromartie Koukou,114
553,Sora yori mo Tooi Basho,35839
554,Suzumiya Haruhi no Yuuutsu,849
555,Touhai Densetsu Akagi: Yami ni Maiorita Tensai,658
556,Zoku Sayonara Zetsubou Sensei,3228
557,Akachan to Boku,1485
558,Bishoujo Senshi Sailor Moon: Sailor Stars,996
559,City Hunter,1470
560,Hataraku Maou-sama!,15809
561,Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,429
562,Kyoukai no Kanata Movie: I'll Be Here - Kako-hen - Yakusoku no Kizuna,30745
563,Macross F,3572
564,Magic Kaito,8310
565,Mobile Suit Gundam: Iron-Blooded Orphans,31251
566,Plastic Memories,27775
567,Saiyuuki Gaiden,9088
568,Sayonara Zetsubou Sensei,2605
569,Serial Experiments Lain,339
570,Seto no Hanayome OVA,4163
571,"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen",6351
572,Detective Conan Movie 08: Time Travel of the Silver Sky,7304
573,Haikyuu!! Movie 2: Shousha to Haisha,30364
574,Mahoujin Guruguru (2017),34745
575,Zan Sayonara Zetsubou Sensei,6377
576,Byousoku 5 Centimeter,1689
577,Carnival Phantasm,10012
578,Detective Conan Movie 01: The Timed Skyscraper,779
579,Giant Robo the Animation: Chikyuu ga Seishi Suru Hi,2321
580,Hakuouki Movie 2: Shikon Soukyuu,13119
581,Higashi no Eden,5630
582,Hokuto no Ken,967
583,Initial D Third Stage,187
584,Les Misérables: Shoujo Cosette,1695
585,Little Witch Academia,14349
586,Mobile Suit Gundam Thunderbolt,31973
587,Saint Seiya,1254
588,Darling in the FranXX,35849
589,Detective Conan Movie 07: Crossroad in the Ancient Capital,1366
590,Gochuumon wa Usagi desu ka??,29787
591,Hanasaku Iroha: Home Sweet Home,14175
592,Hidamari Sketch x ☆☆☆,7062
593,Kara no Kyoukai 2: Satsujin Kousatsu (Zen),3782
594,Kokoro Connect,11887
595,Lupin III (2015),27947
596,Magic Kaito 1412,25517
597,Maria-sama ga Miteru 3rd,1729
598,Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,6007
599,Seihou Bukyou Outlaw Star,400
600,The Everlasting Guilty Crown,17949
601,Uchouten Kazoku,17909
602,Working'!!,10521
603,Break Blade 4: Sanka no Chi,9465
604,Hidamari Sketch x Honeycomb,11239
605,Hoozuki no Reitetsu OVA,24471
606,Mobile Suit Gundam Thunderbolt: December Sky,33221
607,Neko no Ongaeshi,597
608,Saint☆Oniisan (Movie),15771
609,Seitokai Yakuindomo* OVA,26123
610,Yuru Yuri Nachuyachumi!,23225
611,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 2 - Tamashii,34375
612,Ajin 2nd Season,33253
613,Baby Steps,21185
614,Detective Conan Movie 09: Strategy Above the Depths,1505
